parameter,category,normal_range,unit,low_interpretation,high_interpretation,critical_low,critical_high,advice_low,advice_high
HbA1c (Glycated Hemoglobin),Metabolic,<5.7,%,Good glycemic control (if diabetic — normal range),Pre-diabetes (5.7-6.4%) or Diabetes (≥6.5%),4.0,15.0,Maintain healthy diet and exercise,Optimize diabetes management; medication adjustment; dietitian referral
Serum Creatinine,Kidney Function,0.6-1.2,mg/dL,Normal or muscle wasting,Kidney dysfunction — acute or chronic,0.3,10.0,Monitor; assess hydration and muscle mass,eGFR calculation; urine albumin; nephrology referral if persistently elevated
Blood Urea Nitrogen (BUN),Kidney Function,7-25,mg/dL,Liver disease or malnutrition,Kidney dysfunction or dehydration,3,100,Assess liver function; nutritional status,Check creatinine; hydration status; kidney function tests
eGFR (Estimated GFR),Kidney Function,>60,mL/min/1.73m²,Kidney disease — chronic kidney disease staging,Normal (higher is better),10,200,CKD staging; nephrology referral; blood pressure control; limit nephrotoxic drugs,Normal — maintain hydration and kidney-healthy lifestyle
Uric Acid,Metabolic,3.4-7.0,mg/dL,Hypouricemia — rare; Fanconi syndrome,Hyperuricemia — gout risk or kidney stones,1.0,12.0,Usually not clinically significant; check for Fanconi syndrome if very low,Low-purine diet; hydration; allopurinol if symptomatic gout; avoid diuretics if possible
Serum Sodium,Electrolytes,136-145,mEq/L,Hyponatremia — neurological symptoms,Hypernatremia — dehydration,120,160,Fluid restriction or salt supplementation depending on type; hospitalize if severe,Fluid replacement; investigate cause; may need hospitalization
Serum Potassium,Electrolytes,3.5-5.0,mEq/L,Hypokalemia — cardiac arrhythmia risk,Hyperkalemia — cardiac arrhythmia risk,2.5,6.5,Potassium supplementation; check for diuretic use; ECG monitoring,Restrict dietary potassium; check kidney function; ECG urgently; IV calcium if critical
Serum Calcium,Electrolytes,8.5-10.5,mg/dL,Hypocalcemia — tetany and seizure risk,Hypercalcemia — kidney stones and neurological symptoms,7.0,13.0,Calcium and Vitamin D supplementation; PTH levels,Check PTH and Vitamin D; malignancy workup; hydration; bisphosphonates if malignancy
Serum Magnesium,Electrolytes,1.7-2.2,mg/dL,Hypomagnesemia — arrhythmia and muscle cramps,Hypermagnesemia — muscle weakness (rare),1.0,4.5,Magnesium supplementation; check for malabsorption; assess diuretic use,Check kidney function; withdraw Mg supplements; may need dialysis if severe
Total Bilirubin,Liver Function,0.2-1.2,mg/dL,Not clinically significant,Jaundice — liver disease or hemolysis,0.1,15.0,Usually not significant,Liver function panel; ultrasound; investigate type (pre-hepatic vs hepatic vs post-hepatic)
Direct Bilirubin,Liver Function,0-0.3,mg/dL,Not clinically significant,Obstructive jaundice or liver disease,0,5.0,Not significant,Ultrasound for biliary obstruction; ERCP if bile duct stone; liver biopsy if needed
ALT (Alanine Aminotransferase),Liver Function,7-56,U/L,Not clinically significant,Liver injury — hepatitis or fatty liver,3,500,Not significant,Liver ultrasound; hepatitis screen; stop hepatotoxic medications; alcohol abstinence
AST (Aspartate Aminotransferase),Liver Function,10-40,U/L,Not clinically significant,Liver or muscle injury — hepatitis or myocardial infarction,5,500,Not significant,Cardiac enzymes if MI suspected; liver function panel; alcohol history
ALP (Alkaline Phosphatase),Liver Function,44-147,U/L,Not typically significant (bone disease),Liver or bone disease — biliary obstruction or Paget's disease,20,500,Not significant,Bone and liver imaging; GGT to distinguish liver vs bone source
GGT (Gamma-Glutamyl Transferase),Liver Function,8-61,U/L,Not significant,Liver disease — especially alcohol-related,3,500,Not significant,Assess alcohol use; liver ultrasound; hepatitis screen
Albumin,Liver/Nutrition,3.5-5.0,g/dL,Malnutrition or chronic liver disease,Hemoconcentration (dehydration),2.0,6.0,Nutritional assessment; investigate chronic disease; liver function,Fluid status assessment; usually dehydration
Total Protein,Liver/Nutrition,6.0-8.3,g/dL,Malnutrition or liver disease,Dehydration or multiple myeloma,4.0,10.0,Nutritional assessment; albumin/globulin ratio,Protein electrophoresis; multiple myeloma workup
TSH (Thyroid Stimulating Hormone),Thyroid,0.4-4.0,mIU/L,Hyperthyroidism (TSH suppressed),Hypothyroidism (TSH elevated),0.01,100,Free T4 and T3; thyroid antibodies; endocrinologist referral,Free T4; thyroid antibodies (anti-TPO); levothyroxine if confirmed hypothyroid
Free T4,Thyroid,0.8-1.8,ng/dL,Primary or secondary hyperthyroidism,Hypothyroidism or TSH-deficient state,0.3,5.0,Antithyroid drugs; endocrinologist,Levothyroxine replacement; recheck TSH in 6-8 weeks
Free T3,Thyroid,2.3-4.2,pg/mL,T3 thyrotoxicosis,Hypothyroidism,1.0,10.0,Antithyroid treatment; endocrinologist,T4 to T3 conversion issues; levothyroxine dose adjustment
Total Cholesterol,Lipid Profile,<200,mg/dL,Malnutrition or hyperthyroidism (if very low),Hypercholesterolemia — cardiovascular risk,80,350,Assess nutritional status; thyroid function if very low,Low-fat diet; statins if >240 or high CV risk; lifestyle modification
LDL Cholesterol,Lipid Profile,<130,mg/dL,Not clinically significant (if very low may indicate malnutrition),High CV risk — atherosclerosis,20,300,Not significant,Statin therapy; low-saturated-fat diet; exercise; cardiologist if very high
HDL Cholesterol,Lipid Profile,>40 (M) >50 (F),mg/dL,Increased cardiovascular risk,Cardioprotective — very high HDL rare but not usually harmful,20,100,Increase exercise; quit smoking; improve diet; niacin may help,Usually beneficial; very high HDL may occasionally indicate CETP deficiency
Triglycerides,Lipid Profile,<150,mg/dL,Not clinically significant,Hypertriglyceridemia — cardiovascular and pancreatitis risk,30,1000,Not significant,Low-carbohydrate and low-fat diet; omega-3 fish oil; fibrates if very high; restrict alcohol
Vitamin B12,Vitamins/Nutrition,200-900,pg/mL,B12 deficiency — neurological and hematological effects,Not typically clinically significant,100,2000,B12 supplementation (oral or IM); investigate cause (pernicious anemia vs dietary); neurological assessment,Usually safe; assess for excessive supplementation
Vitamin D (25-OH),Vitamins/Nutrition,30-100,ng/mL,Vitamin D deficiency — bone and immune effects,Vitamin D toxicity (rare),10,150,Vitamin D3 supplementation; sunlight exposure; calcium assessment,Stop supplementation; hydration; calcium level check
Iron (Serum),Iron Studies,60-170,µg/dL,Iron deficiency — anemia risk,Iron overload — hemochromatosis risk,20,300,Dietary iron increase; ferrous sulfate supplementation; investigate blood loss,Ferritin and transferrin saturation; genetic hemochromatosis test; phlebotomy if confirmed
Ferritin,Iron Studies,12-300,ng/mL,Iron deficiency (most sensitive marker),Iron overload or inflammatory state,5,500,Iron supplementation; investigate source of iron loss; dietary changes,Hemochromatosis genetic test; liver biopsy if very high; phlebotomy if hemochromatosis
TIBC (Total Iron Binding Capacity),Iron Studies,240-450,µg/dL,Iron overload or chronic disease,Iron deficiency anemia,150,600,Usually indicates iron overload — reduce iron intake,Iron supplementation required; complete iron studies panel
CRP (C-Reactive Protein),Inflammatory,<1.0 (low CV risk) <3.0 (normal),mg/L,Not clinically significant,Inflammation or infection present,0,200,Not significant,Identify source of inflammation or infection; infectious workup; autoimmune screen
ESR (Erythrocyte Sedimentation Rate),Inflammatory,0-20 (M) 0-30 (F),mm/hr,Not clinically significant,Inflammation — infection, autoimmune or malignancy,0,150,Not significant,Full inflammation workup; CRP; ANA; CBC; identify underlying condition
HbsAg (Hepatitis B Surface Antigen),Serology,Negative,Qualitative,Normal — no Hepatitis B infection,Hepatitis B infection present (acute or chronic),N/A,N/A,Maintain vaccination status,Hepatitis B profile (HBeAg, Anti-HBe, HBV DNA); liver function; hepatology referral
Anti-HCV,Serology,Negative,Qualitative,Normal — no Hepatitis C exposure,Possible Hepatitis C exposure — confirm with HCV RNA,N/A,N/A,Maintain standard precautions,HCV RNA quantitative; genotyping; liver function; hepatology referral; antiviral therapy
HIV Ag/Ab,Serology,Non-reactive,Qualitative,No HIV infection detected,Possible HIV — confirm with Western blot or viral load,N/A,N/A,Safe sex practices; PrEP if high risk,Confirmatory HIV RNA test; CD4 count; viral load; infectious disease referral; ART initiation
PSA (Prostate Specific Antigen),Cancer Markers,<4.0,ng/mL,Not clinically significant,Elevated PSA — prostate cancer or BPH,0,100,Not significant,Repeat PSA; digital rectal exam; urology referral; prostate biopsy if indicated
CEA (Carcinoembryonic Antigen),Cancer Markers,<3.0 (non-smoker) <5.0 (smoker),ng/mL,Not significant,Possible colorectal or other cancer — or non-specific elevation,0,100,Not significant,Colonoscopy; imaging studies; oncology referral if persistently elevated
CA-125,Cancer Markers,<35,U/mL,Not significant,Possible ovarian cancer — or non-specific (endometriosis),0,500,Not significant,Pelvic ultrasound; gynecology referral; CT scan; biopsy if indicated
AFP (Alpha-fetoprotein),Cancer Markers,<10,ng/mL,Not significant,Hepatocellular carcinoma or germ cell tumor,0,1000,Not significant,Liver ultrasound; CT abdomen; hepatology or oncology referral
Serum Urea,Kidney Function,15-45,mg/dL,Liver failure or malnutrition,Kidney dysfunction or high protein intake,5,200,Liver function tests; nutritional assessment,Kidney function tests; hydration; dietary protein restriction if CKD
Urine Protein,Urinalysis,Negative,Qualitative,Normal,Kidney disease or hypertension damage,N/A,N/A,Normal — maintain hydration,24h urine protein; kidney function; blood pressure control; nephrology referral
Urine Glucose,Urinalysis,Negative,Qualitative,Normal,Diabetes or renal glycosuria,N/A,N/A,Normal,Fasting blood glucose; HbA1c; diabetes evaluation
Urine RBC,Urinalysis,0-3,cells/HPF,Normal,Kidney stones, infection, or malignancy,0,50,Normal,Urine culture; imaging of urinary tract; cystoscopy if persistent
Urine WBC,Urinalysis,0-5,cells/HPF,Normal,Urinary tract infection or kidney inflammation,0,100,Normal,Urine culture and sensitivity; antibiotic treatment; kidney function
SpO2 (Oxygen Saturation),Vitals,95-100,%,Hypoxemia — respiratory or cardiac problem,Not typically meaningful (near 100% is normal),85,100,Supplemental oxygen; respiratory evaluation; chest X-ray; ABG,Normal — maintain
Blood Pressure Systolic,Vitals,90-120,mmHg,Hypotension — syncope or shock risk,Hypertension — cardiovascular risk,70,180,Fluid intake; assess for medications or dehydration; cardiologist if symptomatic,Lifestyle modification; antihypertensive medication; cardiologist referral
Blood Pressure Diastolic,Vitals,60-80,mmHg,Hypotension,Hypertension,50,120,Assess for orthostatic hypotension; hydration,Salt restriction; antihypertensive therapy; lifestyle modification
Heart Rate,Vitals,60-100,bpm,Bradycardia — possible heart block or medication effect,Tachycardia — infection, dehydration, or cardiac cause,40,150,ECG; cardiology evaluation; check medications (beta-blockers),ECG; cardiac monitoring; identify underlying cause (sepsis, anemia, AF)
BMI (Body Mass Index),Anthropometric,18.5-24.9,kg/m²,Underweight — malnutrition risk,Overweight (25-29.9) or Obese (≥30) — metabolic disease risk,15,50,Nutritional assessment; rule out malabsorption or malignancy,Diet and exercise program; metabolic syndrome screening; diabetes risk assessment
INR (International Normalized Ratio),Coagulation,0.8-1.2 (2.0-3.0 if on warfarin),Ratio,Not clinically significant in healthy,Bleeding risk — liver disease or anticoagulation,0.5,4.0,Not significant,If on warfarin: dose adjustment; if not: liver disease workup; fresh frozen plasma if bleeding
aPTT (Activated Partial Thromboplastin Time),Coagulation,25-35,seconds,Not significant,Bleeding disorder or heparin therapy,15,100,Not significant,Coagulation factor deficiencies; heparin dose adjustment; hematology referral
Cortisol (Morning),Hormones,6-23,µg/dL,Adrenal insufficiency — Addison's disease,Cushing's syndrome or stress response,3,50,ACTH stimulation test; endocrinologist; cortisol replacement,Dexamethasone suppression test; Cushing workup; CT adrenal glands
Insulin (Fasting),Hormones,2-25,µIU/mL,Hypoinsulinemia — Type 1 diabetes or pancreatic insufficiency,Hyperinsulinemia — insulin resistance or insulinoma,1,100,Diabetes type assessment; C-peptide levels,HOMA-IR calculation; insulin resistance management; rule out insulinoma
Basophils,CBC Differential,0-1,%,Not clinically significant,Basophilia — allergy or myeloproliferative disorder,0,5,Usually not significant,Allergy workup; consider bone marrow disorder if persistent
Monocytes,CBC Differential,2-8,%,Monocytopenia — rare; immune suppression,Monocytosis — chronic infection or inflammation,0.5,15,Check for immune suppression; viral infection,TB screen; consider autoimmune disease; flow cytometry
Reticulocytes,CBC,0.5-2.5,%,Hypoproliferative anemia — bone marrow suppression,Hemolytic anemia or blood loss response,0.2,8,Bone marrow biopsy consideration; check B12 folate iron,Hemolysis workup; check for bleeding source; LDH and haptoglobin
LDH (Lactate Dehydrogenase),Metabolic,140-280,U/L,Not clinically significant,Tissue injury — hemolysis liver damage or malignancy,50,1000,Usually not significant,Hemolysis screen; liver function tests; malignancy workup
Troponin I,Cardiac Markers,<0.04,ng/mL,Normal,Myocardial injury — heart attack or myocarditis,0,0.5,Normal — no myocardial injury,URGENT: ECG and cardiology consult; possible heart attack
Troponin T,Cardiac Markers,<0.01,ng/mL,Normal,Myocardial injury — acute MI or myocarditis,0,0.1,Normal — no myocardial injury,URGENT: serial troponins every 3h; ECG; cardiology referral
CK-MB (Creatine Kinase-MB),Cardiac Markers,0-25,U/L,Not significant,Myocardial infarction or myocarditis,0,100,Not significant,ECG; troponin serial measurement; cardiology consult
BNP (B-Natriuretic Peptide),Cardiac Markers,<100,pg/mL,Normal cardiac function,Heart failure — fluid overload,0,900,Normal,Echocardiogram; diuretic therapy; cardiology referral
NT-proBNP,Cardiac Markers,<125,pg/mL,Normal cardiac function,Heart failure — elevated filling pressures,0,5000,Normal,Echocardiogram; cardiac MRI; heart failure management
D-Dimer,Coagulation,<0.5,mg/L FEU,Normal — low clot probability,Elevated — possible DVT PE DIC or inflammation,0,20,Low pre-test probability for thrombosis,Imaging for DVT or PE if clinically suspected; CT pulmonary angiography
Prothrombin Time (PT),Coagulation,11-14,seconds,Not typically significant (short PT),Coagulopathy — liver disease warfarin effect or DIC,7,25,Not significant,Liver function; check for DIC; review anticoagulant medications
INR Extended,Coagulation,0.8-1.2,ratio,Not significant (low INR),Coagulopathy or supratherapeutic anticoagulation,0.5,5.0,Not significant (unless on warfarin),Review warfarin dose; vitamin K if bleeding risk; target INR 2-3 for AF
Fibrinogen,Coagulation,200-400,mg/dL,Hypofibrinogenemia — DIC or liver disease,Hyperfibrinogenemia — inflammation or thrombosis risk,100,800,DIC screen; liver function tests,Inflammatory marker; consider anticoagulation if very high; DIC workup
Protein C,Coagulation,70-140,%,Protein C deficiency — thrombosis risk,Not clinically significant,40,200,Thrombophilia workup; anticoagulation consideration,Usually not significant
Protein S,Coagulation,60-140,%,Protein S deficiency — DVT risk,Not clinically significant,30,200,Thrombophilia screen; anticoagulation,Usually not significant
Antithrombin III,Coagulation,80-120,%,AT-III deficiency — heparin resistance and thrombosis,Not clinically significant,50,150,Thrombophilia screen; consider AT-III supplementation,Usually not significant
Homocysteine,Metabolic,5-15,µmol/L,Not clinically significant,Hyperhomocysteinemia — cardiovascular and thrombosis risk,2,50,Not significant,Folate B12 B6 supplementation; cardiovascular risk assessment
Lipoprotein(a),Lipids,<30,mg/dL,Not clinically significant,Elevated Lp(a) — independent CVD risk factor,0,75,Not significant,Cardiovascular risk stratification; statin therapy may not lower Lp(a)
Apolipoprotein B,Lipids,<100,mg/dL,Not clinically significant,Elevated ApoB — atherosclerosis risk,0,150,Not significant,Intensive lipid lowering therapy; dietary modification
Apolipoprotein A1,Lipids,>120,mg/dL,Low HDL pathway — cardiovascular risk,Not clinically significant,90,300,Lifestyle modification; aerobic exercise to raise HDL; niacin,Not significant
VLDL Cholesterol,Lipids,2-30,mg/dL,Not significant,Hypertriglyceridemia — metabolic syndrome,0,50,Not significant,Triglyceride management; low-carbohydrate diet
Non-HDL Cholesterol,Lipids,<130,mg/dL,Not significant,Elevated non-HDL — cardiovascular risk,0,250,Not significant,Statin therapy; dietary fat reduction
Free T3 Total,Thyroid,2.3-4.2,pg/mL,Hypothyroidism — fatigue cold intolerance,Hyperthyroidism — palpitations weight loss,1.0,8.0,Thyroid hormone replacement; TSH monitoring,Antithyroid drugs; beta blockers; endocrinology referral
Thyroid Peroxidase Antibody (TPO Ab),Thyroid,<35,IU/mL,Normal,Autoimmune thyroid disease — Hashimoto or Graves,0,500,Normal,Thyroid function monitoring; levothyroxine if hypothyroid; endocrinology
Thyroglobulin Antibody (TgAb),Thyroid,<40,IU/mL,Normal,Autoimmune thyroiditis or thyroid cancer monitoring,0,1000,Normal,Endocrinology referral; thyroid ultrasound; cancer surveillance
Parathyroid Hormone (PTH),Calcium Metabolism,15-65,pg/mL,Hypoparathyroidism — low calcium tetany,Hyperparathyroidism — high calcium kidney stones,5,200,Calcium and Vitamin D supplementation; monitor calcium,Calcium restriction; hydration; surgery for primary hyperparathyroidism
Prolactin,Hormones,2-29,ng/mL,Not clinically significant,Hyperprolactinemia — galactorrhea infertility headache,1,200,Not significant,MRI pituitary; dopamine agonist (bromocriptine); endocrinology
Growth Hormone (GH),Hormones,<10,ng/mL,Not significant (basal),Excess GH — acromegaly or gigantism,0,50,Not significant (must be interpreted with IGF-1),IGF-1 level; pituitary MRI; endocrinology
IGF-1 (Insulin-like Growth Factor 1),Hormones,100-300,ng/mL,GH deficiency — growth retardation fatigue,GH excess — acromegaly,50,600,GH stimulation test; endocrinology referral,Pituitary MRI; somatostatin analogue treatment
DHEA-S (Dehydroepiandrosterone Sulfate),Hormones,80-560,µg/dL,Adrenal insufficiency,Adrenal hyperplasia or tumor,30,800,Cortisol stimulation test; adrenal function assessment,Adrenal imaging; endocrinology referral
Estradiol (E2),Hormones,20-350,pg/mL,Ovarian insufficiency or menopause,Estrogen excess — ovarian cyst or tumor,10,1000,FSH LH levels; bone density; HRT consideration,Pelvic ultrasound; gynaecology referral
Testosterone (Total),Hormones,270-1070,ng/dL,Hypogonadism — low libido fatigue reduced muscle,Hyperandrogenism — PCOS or adrenal tumor,50,1500,LH FSH levels; testosterone replacement therapy if symptomatic,PCOS workup in women; adrenal imaging; endocrinology
LH (Luteinizing Hormone),Hormones,1.7-8.6,mIU/mL,Hypogonadotropic hypogonadism,Hypergonadotropic hypogonadism or LH surge,0.5,40,Pituitary function tests; MRI pituitary,Ovarian or testicular function assessment; fertility workup
FSH (Follicle Stimulating Hormone),Hormones,1.5-12.4,mIU/mL,Central hypogonadism — pituitary or hypothalamic,Premature ovarian failure or menopause,0.5,60,Pituitary MRI; hormonal workup,Fertility assessment; HRT consideration
Progesterone,Hormones,<1 (follicular) or 5-20 (luteal),ng/mL,Luteal phase deficiency — infertility,Not clinically significant in non-pregnant,0.1,30,Timed progesterone levels; fertility workup,Not typically concerning
Beta-hCG (Pregnancy),Hormones,<5,mIU/mL,Normal (non-pregnant),Pregnancy or germ cell tumor,0,500000,Normal,Pregnancy test; if positive — OB referral; if not pregnant — tumour marker workup
ACTH (Adrenocorticotropic Hormone),Hormones,10-60,pg/mL,Secondary adrenal insufficiency,Cushing disease or adrenal insufficiency (high ACTH),5,200,Cortisol stimulation test; adrenal imaging,Dexamethasone suppression test; pituitary MRI
Aldosterone,Hormones,3-35,ng/dL,Adrenal insufficiency,Primary hyperaldosteronism — Conn syndrome,1,80,Salt and fluid replacement; fludrocortisone,Adrenal imaging; renin-aldosterone ratio; surgery consideration
Renin Activity,Hormones,0.5-4.0,ng/mL/h,Not clinically significant,Secondary hyperaldosteronism — renal artery stenosis,0.1,20,Not significant,Aldosterone-renin ratio; renal imaging; nephrology referral
Arterial Blood pH,ABG,7.35-7.45,pH units,Acidosis — respiratory or metabolic,Alkalosis — respiratory or metabolic,7.1,7.6,Urgent: identify cause (metabolic or respiratory); bicarbonate supplementation,Identify cause; treat underlying disorder; ventilation adjustment
pCO2,ABG,35-45,mmHg,Hypocapnia — hyperventilation or compensation for metabolic alkalosis,Hypercapnia — respiratory failure or compensation for metabolic acidosis,20,80,Assess ventilation; treat anxiety or PE if hyperventilation,Respiratory failure assessment; ventilatory support if needed
pO2,ABG,80-100,mmHg,Hypoxemia — respiratory failure,Not clinically significant (high pO2 with supplemental O2),40,150,Oxygen supplementation; ventilatory support; identify cause of hypoxia,Reduce supplemental O2 if on high flow; not concerning
Bicarbonate (HCO3),ABG,22-26,mEq/L,Metabolic acidosis,Metabolic alkalosis,10,40,Bicarbonate therapy; treat underlying cause (DKA renal failure),Treat vomiting; diuretics review; potassium replacement
Base Excess,ABG,-2 to +2,mEq/L,Metabolic acidosis,Metabolic alkalosis,-10,10,Base deficit treatment; identify acidosis cause,Treat underlying alkalosis; chloride supplementation
Lactate,ABG/Metabolic,0.5-2.0,mmol/L,Not significant,Lactic acidosis — sepsis or tissue hypoxia,0.2,10,Not significant,URGENT if >4: sepsis protocol; oxygen; IV fluids; identify cause
Urine pH,Urinalysis,5.0-8.0,pH units,Acidic urine — high protein diet or acidosis,Alkaline urine — UTI or renal tubular acidosis,4.5,9.0,Dietary assessment; check for metabolic acidosis,UTI screen; renal tubular acidosis evaluation
Urine Specific Gravity,Urinalysis,1.005-1.030,,Hyposthenuric — diabetes insipidus or overhydration,Concentrated urine — dehydration,1.001,1.035,Water restriction; diabetes insipidus evaluation,Ensure adequate hydration
Urine Creatinine,Urinalysis,800-2000,mg/24h,Low creatinine excretion — reduced muscle mass or low GFR,Not clinically significant in isolation,100,3000,Assess GFR and muscle mass,Not significant alone; interpret with serum creatinine
Urine Albumin/Creatinine Ratio (UACR),Kidney Function,<30,mg/g,Normal,Microalbuminuria (30-300) or macroalbuminuria (>300) — kidney damage,0,300,Normal,ACE inhibitor or ARB for kidney protection; diabetes and BP control
Microalbumin (24h),Kidney Function,<30,mg/24h,Normal,Early kidney damage — diabetic nephropathy,0,300,Normal,Tighten glucose and BP control; nephrology referral if >300
Cystatin C,Kidney Function,0.62-1.15,mg/L,Not significant,Better GFR marker — kidney disease,0.4,5.0,Not significant,eGFR calculation using cystatin C; nephrology referral
Phosphorus (Serum),Electrolytes,2.5-4.5,mg/dL,Hypophosphatemia — refeeding syndrome or malabsorption,Hyperphosphatemia — kidney disease or hypoparathyroidism,1.0,8.0,Phosphate supplementation; nutrition assessment,Dietary phosphate restriction; phosphate binders; renal management
Zinc (Serum),Minerals,70-120,µg/dL,Zinc deficiency — poor wound healing immune dysfunction,Zinc toxicity — rare,30,200,Zinc supplementation; dietary assessment,Avoid excess supplementation; identify source of excess
Copper (Serum),Minerals,70-140,µg/dL,Copper deficiency — anemia and neuropathy,Wilson disease or copper toxicity,20,250,Copper supplementation; assess for malabsorption,Wilson disease workup; ceruloplasmin level; liver biopsy
Selenium (Serum),Minerals,70-150,µg/L,Selenium deficiency — cardiomyopathy and immune dysfunction,Selenium toxicity — selenosis,20,400,Selenium supplementation; Keshan disease prevention,Identify dietary source excess; discontinue supplements
Magnesium RBC,Minerals,4.2-6.8,mg/dL,Intracellular Mg deficiency — better marker than serum Mg,Not typically significant,2.0,10.0,Magnesium supplementation; assess GI absorption and diuretic use,Review supplements and diet
Vitamin A (Retinol),Vitamins,30-65,µg/dL,Vitamin A deficiency — night blindness and immune dysfunction,Vitamin A toxicity — liver damage and teratogenicity,10,100,Vitamin A supplementation; dietary assessment,Stop supplementation; monitor liver function
Vitamin C (Ascorbic Acid),Vitamins,0.4-2.0,mg/dL,Vitamin C deficiency — scurvy,Not clinically significant at normal supplementation doses,0.1,3.0,Vitamin C supplementation; citrus fruit intake,Not significant; excess excreted in urine
Folate (Serum),Vitamins,2.7-17.0,ng/mL,Folate deficiency — megaloblastic anemia and neural tube defects,Not clinically significant,1.0,25.0,Folic acid 5mg daily; dietary leafy greens; prenatal supplementation,Not significant
RBC Folate,Vitamins,140-628,ng/mL,Folate deficiency — better tissue marker than serum folate,Not significant,80,1000,Folate supplementation; dietary assessment,Not significant
Vitamin E (Alpha-Tocopherol),Vitamins,5.5-17,mg/L,Vitamin E deficiency — neuropathy and hemolytic anemia,Vitamin E excess — anticoagulant effect,2,30,Vitamin E supplementation; fat malabsorption assessment,Reduce high-dose supplementation; monitor coagulation
Vitamin K,Vitamins,0.1-2.2,ng/mL,Vitamin K deficiency — bleeding and coagulopathy,Not clinically significant,0.05,5.0,Vitamin K supplementation; check INR; assess for malabsorption,Not significant
VDRL/RPR (Syphilis),Serology,Non-reactive,,Non-reactive — no current syphilis,Reactive — possible syphilis infection,0,0,Normal — no syphilis detected,Confirmatory treponemal test (FTA-ABS); STI counselling; penicillin treatment
Anti-CCP (Anti-Cyclic Citrullinated Peptide),Immunology,<20,U/mL,Negative — less likely RA,Positive — highly specific for rheumatoid arthritis,0,200,Normal,Rheumatoid arthritis diagnosis; methotrexate; rheumatology referral
ANA (Antinuclear Antibody),Immunology,Negative,,Negative — SLE less likely,Positive — SLE Sjogren's scleroderma or drug-induced lupus,0,0,Normal,Anti-dsDNA; complement levels; rheumatology referral
Anti-dsDNA,Immunology,<30,IU/mL,Negative,Positive — highly specific for systemic lupus erythematosus,0,200,Normal,SLE diagnostic criteria; complement C3 C4; rheumatology and nephrology
Complement C3,Immunology,90-180,mg/dL,Low C3 — active SLE or complement consumption,Elevated C3 — acute phase reactant,40,250,SLE flare assessment; rheumatology referral,Acute phase response; assess underlying infection or inflammation
Complement C4,Immunology,16-47,mg/dL,Low C4 — hereditary deficiency or SLE,Elevated — acute phase,5,80,SLE and C4 deficiency workup,Acute phase response
