disease,first_line_treatment,medications,home_remedies,lifestyle_changes,specialist,emergency_signs,prognosis,duration
GERD,Proton pump inhibitors + lifestyle changes,"Omeprazole (20-40mg daily), Pantoprazole (40mg daily), Antacids for immediate relief, Domperidone (10mg before meals)","Ginger tea, Aloe vera juice, Chamomile tea, Slippery elm, Baking soda in water","Elevate head of bed, Avoid eating 2-3h before bed, Lose weight, Avoid trigger foods, Small frequent meals",Gastroenterologist,"Dysphagia, Weight loss, Anemia, Vomiting blood",Good with treatment,Chronic — ongoing management needed
Epilepsy,Antiseizure medications + avoidance of triggers,"Sodium valproate (500-2000mg daily), Carbamazepine (200-1200mg daily), Levetiracetam (500-3000mg daily), Lamotrigine (100-400mg daily), Phenytoin (300-400mg daily)","Ketogenic diet (may reduce seizures), Adequate sleep, Stress management, Avoid alcohol and flashing lights","Adequate sleep, Avoid alcohol, Avoid flashing lights if photosensitive, Medication compliance, Wear medical ID, Avoid driving if uncontrolled",Neurologist,"Status epilepticus (seizure lasting more than 5 minutes — call 911), New seizure type, Post-ictal confusion lasting hours",Good — 70% seizure-free with medication,Lifelong management in most cases
Conjunctivitis,Artificial tears + antibiotic drops if bacterial,"Sodium cromoglycate eye drops (allergic), Chloramphenicol eye drops (bacterial), Olopatadine drops (allergic), Antihistamine eye drops","Warm or cool compress, Saline eye wash, Remove contact lenses, Avoid touching eyes, Honey diluted eye wash (traditional)","Good hand hygiene, Don't share towels or eye makeup, Remove contact lenses, Avoid rubbing eyes, Dispose of contact lens if infected",Ophthalmologist,"Vision loss, Severe eye pain, Photophobia, Corneal involvement",Excellent — self-limiting (viral) or curable with antibiotics (bacterial),Viral: 7-14 days; Bacterial: 5-7 days with drops
Urticaria (Hives),Antihistamines + identify and avoid triggers,"Cetirizine (10mg once daily), Loratadine (10mg once daily), Fexofenadine (180mg once daily), Diphenhydramine (25-50mg for acute), Prednisolone (short course for severe)",Cold compress on hives, Oatmeal bath, Aloe vera gel, Calamine lotion, Baking soda paste,"Identify and avoid triggers (food, medication, latex), Wear loose cotton clothing, Avoid hot showers, Food diary to identify triggers",Allergist / Dermatologist,"Swelling of throat or tongue (anaphylaxis — call 911), Difficulty breathing, Chest tightness",Good — acute resolves within weeks; chronic may persist months,Acute: hours to days; Chronic: weeks to months
Food Poisoning,Fluid replacement + rest + identify toxin,"Oral rehydration solution (ORS), Ondansetron (4mg for nausea), Loperamide (2mg for diarrhea — not if bloody stool or fever), Antibiotics only for bacterial causes (Ciprofloxacin for Salmonella)","ORS, Coconut water, Ginger tea for nausea, BRAT diet (Banana Rice Applesauce Toast), Rest","Avoid solid food initially, Reintroduce bland foods gradually, Identify contaminated food, Proper food storage and handling",Emergency / Gastroenterologist,"Bloody diarrhea, High fever, Signs of severe dehydration, Neurological symptoms, Difficulty swallowing",Excellent — most resolve without treatment,12-72 hours
Dehydration,Oral or IV fluid replacement,"Oral Rehydration Solution (ORS) — gold standard, IV Normal Saline or Ringer's Lactate for severe, Pedialyte, Sports drinks (mild)","Coconut water, Diluted fruit juices, Water with a pinch of salt and sugar, Ice pops for children","Drink 8+ glasses water daily, Increase fluids in hot weather, Drink during and after exercise, Avoid excessive alcohol and caffeine",Emergency (severe),"Confusion, Rapid heartbeat, Sunken eyes, No urine output for 8h, Severe dizziness",Excellent with fluid replacement,Hours with treatment
Vitamin D Deficiency,Vitamin D supplementation + sunlight exposure,"Cholecalciferol (Vitamin D3) 1000-4000 IU daily (mild deficiency); 50000 IU weekly for 8-12 weeks (severe deficiency), Calcium supplementation if also deficient","Fatty fish (salmon, tuna), Egg yolks, Fortified milk, Mushrooms, Sunlight 15-20 min daily","Daily sunlight exposure 15-20 min, Regular weight-bearing exercise, Vitamin D-rich diet, Annual vitamin D level check",Endocrinologist (if severe),"Osteomalacia (severe bone pain), Tetany (muscle spasms), Rickets in children",Excellent with supplementation,3-6 months to normalize levels
Iron Deficiency Anemia,Iron supplementation + treat underlying cause,"Ferrous sulfate (325mg 3x daily between meals), Ferrous gluconate (300mg 3x daily), IV iron (if oral not tolerated or severe), Vitamin C (500mg with iron supplements to improve absorption)","Iron-rich foods: red meat, liver, spinach, lentils, fortified cereals, pumpkin seeds; Cook in cast iron pan; Vitamin C with every meal","Iron-rich diet, Vitamin C with iron-containing foods, Avoid tea/coffee near meals, Identify and treat source of blood loss, Recheck CBC after 4-6 weeks",Hematologist,"Chest pain, Shortness of breath at rest, Severe fatigue, Palpitations, Syncope",Excellent — most cases resolve within 3-6 months,3-6 months for iron stores to replenish
Stroke,Emergency thrombolysis or thrombectomy — CALL 911 IMMEDIATELY,"tPA (tissue plasminogen activator — must give within 4.5h of onset — hospital only), Aspirin 300mg, Blood pressure management, Anticoagulants for atrial fibrillation","NONE — this is a medical emergency — call ambulance immediately","Post-stroke rehabilitation: physiotherapy, speech therapy, occupational therapy, Blood pressure control, Antiplatelet therapy, Quit smoking",Neurologist / Stroke Unit,"ANY sudden face drooping, arm weakness, or speech difficulty — CALL 911 NOW",Highly variable — depends on time to treatment; early treatment saves brain,Hospitalization required; rehabilitation months to years
Panic Attacks,CBT + breathing techniques + medication if frequent,"Alprazolam (0.25-0.5mg for acute — short-term only), SSRIs for prevention: Sertraline (50-200mg), Escitalopram (10-20mg), Clonazepam (0.5-2mg — short-term)","4-7-8 breathing technique, Paper bag breathing, Cold water on face (diver's reflex), Mindfulness, Lavender aromatherapy","CBT therapy, Regular exercise, Limit caffeine, Sleep hygiene, Stress management, Avoid alcohol, Mindfulness meditation",Psychiatrist / Psychologist,"First panic attack (rule out cardiac cause), Chest pain with ECG changes",Good — highly treatable with CBT,Weeks to months; CBT prevents recurrence
Celiac Disease,Strict lifelong gluten-free diet — only treatment,"No medications cure celiac; Iron, Folate, Calcium, Vitamin D supplements for deficiencies; Corticosteroids for refractory disease","Naturally gluten-free: rice, corn, quinoa, potatoes, fruits, vegetables, meat, fish; Gluten-free oats; Read all food labels","Strict gluten-free diet (no wheat, barley, rye), Read all food labels, Avoid cross-contamination, Gluten-free kitchen utensils, Educate family",Gastroenterologist,"Severe malnutrition, Intestinal lymphoma (rare long-term complication), Refractory disease",Excellent with strict gluten-free diet — intestine heals completely,Months for intestine to heal; diet is permanent
Lupus,Hydroxychloroquine + NSAIDs + steroids + immunosuppressants,"Hydroxychloroquine (200-400mg daily), Prednisolone (5-60mg daily for flares), Azathioprine (1-3mg/kg daily), Mycophenolate mofetil (1-3g daily), Belimumab (biologic)","Turmeric (anti-inflammatory), Fish oil (omega-3), Aloe vera, Avoid sun exposure, Rest","Sun protection (SPF 50+, protective clothing), Avoid sunlight during flares, Low-sodium diet if on steroids, Regular monitoring, Quit smoking",Rheumatologist,"Lupus nephritis, Serositis (pleuritis, pericarditis), CNS lupus, Thrombocytopenia",Variable — most live normal lives with treatment; organ involvement worsens prognosis,Lifelong — flares and remissions
Hepatitis B,Antiviral therapy for chronic + vaccination prevention,"Tenofovir (300mg daily), Entecavir (0.5mg daily), Pegylated interferon-alpha (for selected patients), Hepatitis B vaccine for prevention (3 doses)","Milk thistle (liver support), Licorice root, Turmeric, High-fluid intake, Avoid alcohol","Avoid alcohol completely, Hepatitis B vaccine, Safe sex practices, Don't share needles, Regular liver function tests, HBV DNA monitoring",Hepatologist / Gastroenterologist,"Acute liver failure (jaundice, confusion, bleeding), Ascites, Encephalopathy",Acute: 95% adults clear virus; Chronic: managed but not cured,Acute: weeks to months; Chronic: lifelong management
PTSD,Trauma-focused psychotherapy (EMDR, CPT) + medication,"SSRIs: Sertraline (50-200mg) — FDA approved, Paroxetine (20-60mg); Prazosin (1-15mg for nightmares); Venlafaxine (75-225mg)","Mindfulness meditation, Exercise, Support groups, Journaling, Art therapy, Nature therapy","Trauma-focused CBT, EMDR therapy, Social support, Regular exercise, Avoid alcohol and drugs, Sleep hygiene, Stress management",Psychiatrist / PTSD specialist,"Active suicidal ideation, Severe dissociation, Inability to function",Good with appropriate therapy — recovery takes time,Months to years; therapy significantly improves outcomes
Fibromyalgia,Multimodal approach: exercise + sleep hygiene + medication,"Duloxetine (60-120mg daily), Pregabalin (150-450mg daily), Amitriptyline (10-75mg nightly for sleep), Tramadol for pain flares, Cyclobenzaprine (5-10mg for muscle spasms)","Epsom salt baths, Gentle massage, Turmeric, Magnesium supplement, Heat therapy, Acupuncture","Low-impact exercise (walking, swimming, yoga), Sleep hygiene, Pacing activities, Stress reduction, CBT for pain management, Gentle stretching",Rheumatologist / Pain Specialist,"Cardiac symptoms, Severe depression, Inability to walk",Manageable — not curable; symptoms wax and wane,Chronic — ongoing management needed
Polycystic Ovary Syndrome,Lifestyle modification + hormonal therapy + Metformin,"Combined oral contraceptive pill (regulate periods), Metformin (500-2000mg daily for insulin resistance), Clomiphene (for ovulation induction for fertility), Spironolactone (for hirsutism/acne), Anti-androgens","Spearmint tea (reduces androgens), Cinnamon, Inositol supplement, Low-GI diet, Exercise","Regular exercise, Low-glycemic-index diet, Weight loss (if overweight), Manage stress, Regular monitoring of glucose and lipids",Gynecologist / Endocrinologist,"Severe abdominal pain, Missed periods with negative pregnancy test, Signs of metabolic syndrome",Manageable — not curable; symptoms improve with lifestyle and treatment,Lifelong management
Hypothyroidism,Levothyroxine replacement therapy,"Levothyroxine (25-200mcg daily — individualized to TSH), Take 30-60 min before breakfast, Avoid calcium/iron supplements within 4h","Brazil nuts (selenium), Iodized salt, Seaweed, Avoid raw cruciferous vegetables in excess","Take medication at same time daily, Regular TSH monitoring every 6-12 months, Adequate iodine and selenium, Regular exercise",Endocrinologist,"Myxedema coma (rare — severe symptoms, altered consciousness — emergency)",Excellent with medication — requires lifelong treatment,Lifelong — TSH normalizes in 4-8 weeks with medication
Chickenpox,Symptomatic relief and antiviral for severe cases,"Acyclovir (800mg 5x daily — for adults/immunocompromised), Cetirizine (10mg once daily for itching), Paracetamol for fever (avoid aspirin in children)","Calamine lotion, Oatmeal baths, Trim nails to prevent scratching, Cool compresses, Bicarbonate of soda in bath","Stay home until all blisters crusted, Avoid contact with pregnant women and immunocompromised, Varicella vaccine for prevention",General Physician / Paediatrician,"Difficulty breathing, Rash spreads to eyes, Confusion, Severe headache, Bacterial skin infection",Excellent — self-limiting in healthy individuals,7-14 days
Measles,Supportive care + Vitamin A supplementation,"Vitamin A (200000 IU for 2 days), Paracetamol for fever, Antibiotics only if bacterial complication develops","Rest, Hydration, Dim lighting for eye comfort, Warm compress for eyes","MMR vaccination is the best prevention, Isolate for 4 days after rash onset, Vitamin A supplementation",Paediatrician / Infectious Disease,"Encephalitis (seizures, confusion), Severe respiratory distress, Severe dehydration",Good in well-nourished; serious in malnourished populations,7-10 days
Mumps,Supportive care only — no specific antiviral,"Ibuprofen (400mg every 6-8h for pain/swelling), Paracetamol (500mg every 4-6h), Warm or cold compress on swollen glands","Cold/warm compress, Soft foods and liquids, Rest, Stay hydrated","MMR vaccine for prevention, Isolate until swelling resolves (9 days), Soft diet",General Physician / Paediatrician,"Testicular pain/swelling (orchitis), Severe headache with stiff neck, Abdominal pain, Hearing loss",Good — most recover fully,10-12 days
Typhoid Fever,Antibiotics + hydration + rest,"Azithromycin (1g once daily for 5 days — uncomplicated), Ceftriaxone (1-2g IV daily — severe), Ciprofloxacin (500mg twice daily for 7-14 days)","ORS for hydration, Boiled water only, Light easily digestible diet, Coconut water","Typhoid vaccine, Safe water and food hygiene, Wash hands thoroughly, Avoid street food in endemic areas",Infectious Disease,"Intestinal perforation (sudden severe abdominal pain), High persistent fever beyond 7 days, Altered consciousness",Good with early treatment; delayed treatment can be fatal,10-14 days with antibiotics
Hepatitis A,Supportive care — self-limiting,"Paracetamol (for fever/discomfort — avoid high doses), Anti-emetics (Ondansetron 4mg for nausea), Vitamin supplements","Rest, High-carbohydrate low-fat diet, Stay hydrated, Avoid alcohol completely, Avoid fatty foods","Hepatitis A vaccine, Safe water and food, Hand hygiene, Avoid raw shellfish",Gastroenterologist / Hepatologist,"Jaundice worsening rapidly, Confusion (hepatic encephalopathy), Severe vomiting, Signs of liver failure",Excellent — complete recovery in most cases,2-6 weeks
Hepatitis B,Antiviral therapy if chronic + supportive care,"Tenofovir (300mg once daily), Entecavir (0.5-1mg once daily) for chronic HBV, Pegylated interferon (for acute severe cases), Lamivudine (alternative)","Rest, Avoid alcohol completely, Balanced nutrition, Milk thistle (traditional liver support)","Hepatitis B vaccine (3-dose series), Safe sex, No needle sharing, Avoid alcohol, Regular monitoring of liver function",Hepatologist / Gastroenterologist,"Signs of liver failure, Jaundice rapidly worsening, Confusion, Vomiting blood",Good if treated early; chronic HBV can lead to cirrhosis/liver cancer,Acute: 1-3 months; Chronic: lifelong management
Liver Cirrhosis,Treat underlying cause + manage complications,"Diuretics: Spironolactone (100mg) + Furosemide (40mg) for ascites, Propranolol (20-80mg) for varices prevention, Lactulose (30-45ml 2-3x daily) for encephalopathy, Rifaximin (550mg) for encephalopathy","Low-sodium diet (2g/day), Avoid alcohol completely, Protein-rich diet, Zinc supplements","Absolute alcohol abstinence, Treat HBV/HCV, Low-sodium diet, Regular ultrasound surveillance, Screen for liver cancer",Hepatologist / Gastroenterologist,"Vomiting blood (variceal bleeding — EMERGENCY), Confusion or coma (encephalopathy), Severe ascites, Jaundice worsening",Depends on stage — decompensated cirrhosis carries high mortality,Chronic — progressive without treatment
Fatty Liver Disease,Lifestyle modification is the cornerstone of treatment,"No specific drug approved for NAFLD; Vitamin E (800 IU daily — non-diabetics), Metformin (if diabetic), Pioglitazone (if insulin resistant)","Weight loss, Avoid alcohol, Mediterranean diet, Avoid fructose and sugary drinks","Lose 7-10% body weight, Regular exercise 150 min/week, Avoid alcohol, Low-sugar diet, Monitor liver enzymes annually",Gastroenterologist / Hepatologist,"Rapid weight gain in abdomen, Jaundice, Signs of cirrhosis, Elevated liver enzymes",Good with lifestyle changes — reversible in early stages,Months to years depending on adherence to lifestyle change
Osteoporosis,Calcium + Vitamin D + bisphosphonates,"Alendronate (70mg weekly), Risedronate (35mg weekly), Denosumab (60mg injection every 6 months), Calcium carbonate (1000-1200mg daily), Vitamin D3 (800-2000 IU daily)","Weight-bearing exercise, Calcium-rich foods (dairy, leafy greens), Sunlight exposure, Avoid excessive alcohol and caffeine","Weight-bearing exercise 30 min/day, Quit smoking, Limit alcohol, Fall prevention at home, DEXA scan every 2 years",Endocrinologist / Rheumatologist,"Hip fracture, Vertebral compression fracture, Sudden severe back pain",Good with treatment — reduces fracture risk by 50%,Lifelong management
